count_id;site_id;site_name;longitude_epsg_4326;latitude_epsg_4326;species_id;common_name;year;penguin_sum
WASH_2001_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2001;18734
WASH_2002_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2002;11093
WASH_2003_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2003;13163
WASH_2004_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2004;27860
WASH_2005_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2005;40036
WASH_2006_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2006;34180
WASH_2007_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2007;31771
WASH_2008_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2008;33495
WASH_2009_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2009;11808
WASH_2010_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2010;23347
WASH_2011_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2011;30744
WASH_2012_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2012;29878
WASH_2014_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2014;16280
WASH_2015_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2015;24997
WASH_2016_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2016;19402
WASH_2017_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2017;12472
WASH_2018_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2018;29052
WASH_2019_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2019;16677
WATE_1986_CHIN;WATE;Waterboat Point;-62,858;-64,824;CHIN;chinstrap penguin;1986;15
WATE_1996_CHIN;WATE;Waterboat Point;-62,858;-64,824;CHIN;chinstrap penguin;1996;2
WATE_2012_CHIN;WATE;Waterboat Point;-62,858;-64,824;CHIN;chinstrap penguin;2012;7
WATE_2017_CHIN;WATE;Waterboat Point;-62,858;-64,824;CHIN;chinstrap penguin;2017;4
WATE_1986_GENT;WATE;Waterboat Point;-62,858;-64,824;GENT;gentoo penguin;1986;1010
WATE_1996_GENT;WATE;Waterboat Point;-62,858;-64,824;GENT;gentoo penguin;1996;1216
WATE_2012_GENT;WATE;Waterboat Point;-62,858;-64,824;GENT;gentoo penguin;2012;4381
WATT_1982_ADEL;WATT;Watt Bay;144,285;-66,995;ADEL;adelie penguin;1982;1850
WATT_1997_ADEL;WATT;Watt Bay;144,285;-66,995;ADEL;adelie penguin;1997;1600
WAYA_1982_ADEL;WAYA;Way Archipelago;143,589;-66,857;ADEL;adelie penguin;1982;20244
WHIT_1947_CHIN;WHIT;Cape Whitson;-44,544;-60,748;CHIN;chinstrap penguin;1947;4000
WHTY_1972_ADEL;WHTY;Blakeney/Whitney;110,557;-66,246;ADEL;adelie penguin;1972;3175
WHTY_1980_ADEL;WHTY;Blakeney/Whitney;110,557;-66,246;ADEL;adelie penguin;1980;3795
WILD_2003_MACA;WILD;Point Wild;-54,861;-61,098;MACA;macaroni penguin;2003;2
WINK_1983_ADEL;WINK;Winkle Island (two islets next to Winkle Island);-65,686;-65,52;ADEL;adelie penguin;1983;52
WINW_1987_CHIN;WINW;Window Island;-61,124;-62,568;CHIN;chinstrap penguin;1987;75
WITH_1979_CHIN;WITH;Withem Island;-59,138;-62,235;CHIN;chinstrap penguin;1979;20000
WITH_2016_CHIN;WITH;Withem Island;-59,138;-62,235;CHIN;chinstrap penguin;2016;9483
WOOD_1981_ADEL;WOOD;Wood Bay;165,133;-74,33;ADEL;adelie penguin;1981;1300
WOOI_1987_CHIN;WOOI;Wood Island;-60,304;-62,484;CHIN;chinstrap penguin;1987;5500
WTAY_2022_ADEL;WTAY;West of Tay Head;-55,643;-63,334;ADEL;adelie penguin;2022;3500
YALO_1954_ADEL;YALO;Yalour Islands;-64,156;-65,239;ADEL;adelie penguin;1954;25000
YALO_2004_ADEL;YALO;Yalour Islands;-64,156;-65,239;ADEL;adelie penguin;2004;5558
YALO_2016_ADEL;YALO;Yalour Islands;-64,156;-65,239;ADEL;adelie penguin;2016;3541
YALO_2020_ADEL;YALO;Yalour Islands;-64,156;-65,239;ADEL;adelie penguin;2020;3461
YANK_1987_GENT;YANK;Yankee Harbor;-59,769;-62,526;GENT;gentoo penguin;1987;4500
YTRE_1975_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1975;13
YTRE_1981_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1981;36
YTRE_1982_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1982;56
YTRE_1984_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1984;41
YTRE_1986_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1986;43
YTRE_1989_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1989;40
YTRE_1990_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1990;44
YTRE_1994_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1994;29
YTRE_1995_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1995;27
YTRE_1996_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1996;24
YTRE_1997_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1997;66
YTRE_1998_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1998;85
YTRE_1999_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;1999;105
YTRE_2000_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;2000;105
YTRE_2001_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;2001;107
YTRE_2002_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;2002;122
YTRE_2003_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;2003;83
YTRE_2004_ADEL;YTRE;Ytrehovdeholmen;39,433;-69,217;ADEL;adelie penguin;2004;102
ZAWA_2016_CHIN;ZAWA;Zawadski Stacks;-58,784;-62,079;CHIN;chinstrap penguin;2016;68
ZEDI_1987_CHIN;ZEDI;Zed Island;-60,166;-62,433;CHIN;chinstrap penguin;1987;8000
